review_id,user_id,product_id,rating,review_text,review_date
1,12,2,4.3,This Clothing Product 2 has exceeded my expectations. Beautiful and functional.,2024-10-18
2,5,20,2.9,This Clothing Product 20 is not true to size. Much smaller than expected.,2025-04-11
3,17,6,4.4,I'm impressed with the craftsmanship of this Home Product 6. Very well made.,2024-11-27
4,16,1,2.3,Terrible Electronics Product 1. Broke within a week and customer service was unhelpful.,2025-03-03
5,15,15,5.0,I've been using this Home Product 15 for months and it's still like new.,2025-06-02
6,15,10,3.1,This Beauty Product 10 is not effective for my skin type. Wrong choice.,2024-12-12
7,5,19,5.0,I'm thrilled with this Toys Product 19. It's perfect for my child's needs.,2025-06-28
8,14,17,3.3,This Toys Product 17 is not suitable for my child's needs. Wrong design.,2025-01-25
9,2,5,4.4,I've been using this Home Product 5 for months and it's still like new.,2024-11-08
10,11,4,3.3,This Clothing Product 4 is not suitable for my lifestyle. Too delicate.,2025-04-27
11,19,10,4.8,The results from this Beauty Product 10 are noticeable and long-lasting.,2025-04-27
12,7,17,3.8,The design of this Toys Product 17 is impractical for children's use.,2025-06-21
13,6,10,4.4,I'm delighted with this Beauty Product 10. It's become my go-to choice.,2025-06-09
14,2,17,4.0,The performance of this Toys Product 17 is consistent and reliable.,2024-10-18
15,6,20,2.9,Regret buying this Clothing Product 20. It's uncomfortable and poorly made.,2025-07-03
16,18,5,4.4,This Home Product 5 is well-constructed and durable. Great investment.,2025-07-19
17,2,2,3.6,This Clothing Product 2 is disappointing. Poor quality and doesn't fit properly.,2024-11-06
18,18,6,4.8,The design of this Home Product 6 is beautiful and functional. Love it!,2025-01-02
19,15,2,3.8,This Clothing Product 2 is not comfortable for all-day wear. Too tight.,2024-10-15
20,19,13,3.9,I'm not impressed with this Home Product 13. It's overpriced and poorly made.,2025-04-16
