product_id,sku,name,brand,category,subcategory,price,description,weight,dimensions,color,size,stock_quantity,rating,review_count,is_featured,is_digital,shipping_class
1,MAR7955A,Marvel Avengers Figure,Marvel,Toys,Action Figures,50.11,High-quality action figures from Marvel. Designed for durability and performance.,1.1,29x17x13 cm,Yellow,One Size,36,5.0,249,False,False,Light
2,OLA2631A,Olay Room Spray,Olay,Beauty,Fragrance,64.83,"Discover why the Olay Room Spray is a customer favorite. Reliable, stylish, and affordable.",0.17,8x7x7 cm,Gold,One Size,302,3.9,24,True,False,Light
3,HP7300C,HP OnePlus 12,HP,Electronics,Smartphones,1052.68,"Experience cutting-edge technology with the HP OnePlus 12. Features advanced camera system, all-day battery life, and premium design.",0.99,22x21x11 cm,Pink,One Size,642,3.9,81,False,False,Light
4,POT3269C,Bath Mat - Silver,Pottery Barn,Home,Bath,22.17,High-quality bath from Pottery Barn. Designed for durability and performance.,0.72,19x20x8 cm,Pink,One Size,97,4.5,216,False,False,Light
5,LUL1461A,Lululemon Flip Flops (Large),Lululemon,Clothing,Shoes,126.72,The Lululemon Flip Flops (Large) combines fashion and function. Perfect for any outfit and occasion.,0.6,30x13x5 cm,Gray,Small,655,4.0,178,False,False,Light
6,ONE2644C,OnePlus Sony A7 IV,OnePlus,Electronics,Cameras,1687.8,High-quality cameras from OnePlus. Designed for durability and performance.,1.12,19x13x13 cm,Gold,One Size,321,4.7,162,False,False,Light
7,PUM8659A,Socks (XS),Puma,Clothing,Underwear,29.78,The Socks (XS) combines form and function for the perfect addition to your collection.,0.21,9x6x3 cm,Orange,One Size,0,4.2,146,False,False,Light
8,THE1124A,The Ordinary Nail Art Kit,The Ordinary,Beauty,Nail Care,13.67,"Discover why the The Ordinary Nail Art Kit is a customer favorite. Reliable, stylish, and affordable.",0.31,7x12x4 cm,Silver,One Size,84,3.6,5,False,False,Light
9,KIT7594A,KitchenAid Pendant Light,KitchenAid,Home,Lighting,105.99,The KitchenAid Pendant Light combines form and function for the perfect addition to your collection.,1.47,21x23x6 cm,Black,One Size,199,4.4,84,False,False,Light
10,WAY2212C,Night Light - Beige,Wayfair,Home,Lighting,108.97,High-quality lighting from Wayfair. Designed for durability and performance.,0.76,30x30x8 cm,Various,One Size,69,4.3,194,False,False,Light
11,APP9463B,Apple Razer Blade 15,Apple,Electronics,Gaming,481.43,"Discover why the Apple Razer Blade 15 is a customer favorite. Reliable, stylish, and affordable.",0.0,N/A,Purple,One Size,724,0.0,0,False,True,Digital
12,SAM3393D,Samsung Bluetooth Speaker,Samsung,Electronics,Accessories,43.91,The Samsung Bluetooth Speaker delivers exceptional value and quality. Perfect for everyday use.,0.59,28x15x15 cm,Various,One Size,961,3.9,67,False,False,Light
13,EST1369B,Rollerball - Blue,Estée Lauder,Beauty,Fragrance,75.13,The Rollerball - Blue combines form and function for the perfect addition to your collection.,0.1,13x11x2 cm,Various,One Size,66,4.2,99,False,False,Light
14,H&M9197A,Backpack - Silver (XL),H&M,Clothing,Accessories,39.53,Experience the difference with the Backpack - Silver (XL). Premium materials and expert craftsmanship.,0.27,12x9x6 cm,Yellow,Medium,136,4.1,25,False,False,Light
15,BIS8287C,LED Strip - White,Bissell,Home,Lighting,73.26,High-quality lighting from Bissell. Designed for durability and performance.,0.23,15x13x4 cm,Purple,One Size,166,5.0,412,False,False,Light
16,APP6605C,Apple Sennheiser HD 660S,Apple,Electronics,Headphones,585.52,Immerse yourself in crystal-clear audio with the Apple Sennheiser HD 660S. Superior sound quality and comfortable fit.,0.0,N/A,Gold,One Size,899,4.9,84,False,True,Digital
17,SPA4526D,Spalding Running Watch,Spalding,Sports,Running,140.0,The Spalding Running Watch delivers exceptional value and quality. Perfect for everyday use.,1.33,23x16x9 cm,Yellow,One Size,180,3.9,52,False,False,Light
18,UND6197C,Under Armour Leggings,Under Armour,Clothing,Bottoms,61.44,The Under Armour Leggings combines form and function for the perfect addition to your collection.,0.4,6x10x7 cm,Navy,XXL,715,4.3,192,True,False,Light
19,CHA4288D,Chanel Makeup Brushes,Chanel,Beauty,Tools,27.59,"Discover why the Chanel Makeup Brushes is a customer favorite. Reliable, stylish, and affordable.",0.06,9x9x6 cm,Navy,One Size,70,0.0,0,False,False,Light
