product_id,name,brand,category,subcategory,price,stock_quantity,rating,description
1,All Nighter Setting Spray,Urban Decay,Beauty,Makeup,45.95,329,1.3,Professional-grade makeup from Urban Decay. All Nighter Setting Spray delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
2,Prep + Prime Fix+,MAC,Beauty,Makeup,135.79,57,4.0,Professional-grade makeup from MAC. Prep + Prime Fix+ delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
3,Galaxy Buds2,Samsung,Electronics,Headphones,522.0,10,5.0,High-quality headphones from Samsung. Galaxy Buds2 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
4,Dri-FIT Socks,Nike,Clothing,Accessories,71.95,190,2.7,Stylish and comfortable accessories from Nike. Dri-FIT Socks is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
5,Windbreaker,Nike,Clothing,Activewear,44.49,367,5.0,Stylish and comfortable activewear from Nike. Windbreaker is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
6,Galaxy Buds2 Pro,Samsung,Electronics,Headphones,143.95,61,5.0,High-quality headphones from Samsung. Galaxy Buds2 Pro features premium materials and cutting-edge technology. Perfect for both personal and professional use.
7,"MacBook Pro 16""",Apple,Electronics,Laptops,990.49,8,3.8,"High-quality laptops from Apple. MacBook Pro 16"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
8,"iPad Pro 11""",Apple,Electronics,Tablets,1449.49,90,5.0,"High-quality tablets from Apple. iPad Pro 11"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
9,Barbie Fashionista Doll,Mattel,Toys,Dolls,58.0,60,5.0,Fun and educational dolls from Mattel. Barbie Fashionista Doll encourages creativity and learning through play. Safe for children and built to last.
10,Air Max 270,Nike,Clothing,Shoes,213.99,65,3.7,Stylish and comfortable shoes from Nike. Air Max 270 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
11,Galaxy Buds FE,Samsung,Electronics,Headphones,54.49,109,4.7,High-quality headphones from Samsung. Galaxy Buds FE features premium materials and cutting-edge technology. Perfect for both personal and professional use.
12,iPhone SE,Apple,Electronics,Smartphones,2284.95,33,1.2,High-quality smartphones from Apple. iPhone SE features premium materials and cutting-edge technology. Perfect for both personal and professional use.
13,iPhone 15 Pro,Apple,Electronics,Smartphones,2036.0,40,5.0,High-quality smartphones from Apple. iPhone 15 Pro features premium materials and cutting-edge technology. Perfect for both personal and professional use.
14,WF-1000XM4,Sony,Electronics,Headphones,167.0,109,5.0,High-quality headphones from Sony. WF-1000XM4 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
15,AirPods (3rd gen),Apple,Electronics,Headphones,206.79,47,5.0,High-quality headphones from Apple. AirPods (3rd gen) features premium materials and cutting-edge technology. Perfect for both personal and professional use.
16,Great Lash Mascara,Maybelline,Beauty,Makeup,18.0,141,5.0,Professional-grade makeup from Maybelline. Great Lash Mascara delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
17,Creator 3-in-1 Set,LEGO,Toys,Building Sets,95.99,47,5.0,Fun and educational building sets from LEGO. Creator 3-in-1 Set encourages creativity and learning through play. Safe for children and built to last.
18,MagSafe Charger,Apple,Electronics,Accessories,195.0,131,5.0,High-quality accessories from Apple. MagSafe Charger features premium materials and cutting-edge technology. Perfect for both personal and professional use.
19,React Element 55,Nike,Clothing,Shoes,151.49,167,3.0,Stylish and comfortable shoes from Nike. React Element 55 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
20,Gazelle,Adidas,Clothing,Shoes,111.49,20,4.7,Stylish and comfortable shoes from Adidas. Gazelle is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
21,True Match Foundation,L'Oréal,Beauty,Makeup,50.95,113,4.9,Professional-grade makeup from L'Oréal. True Match Foundation delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
22,Superstar,Adidas,Clothing,Shoes,79.0,179,4.8,Stylish and comfortable shoes from Adidas. Superstar is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
23,iPhone 15,Apple,Electronics,Smartphones,1064.0,69,4.4,High-quality smartphones from Apple. iPhone 15 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
24,iPad,Apple,Electronics,Tablets,819.49,94,3.1,High-quality tablets from Apple. iPad features premium materials and cutting-edge technology. Perfect for both personal and professional use.
25,"MacBook Air 13""",Apple,Electronics,Laptops,2852.49,90,5.0,"High-quality laptops from Apple. MacBook Air 13"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
