review_id,user_id,product_id,rating,review_text,review_date
1,84400,98,5.0,"Perfect! Fast shipping, great packaging, and the WF-1000XM4 exceeded my expectations.",2024-10-11
2,87962,75,5.0,Absolutely love this FX30! The quality is outstanding and it works exactly as described.,2025-07-19
3,42304,58,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2024-09-15
4,36931,104,2.7,Would not recommend. The iPhone SE is cheaply made and doesn't last.,2025-03-12
5,24282,96,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-06-06
6,58652,17,5.0,Love this Great Lash Mascara! Great pigmentation and long-lasting wear.,2024-10-08
7,85242,58,3.2,Works well enough. The Galaxy Buds Live is functional but has some minor issues.,2025-01-23
8,87010,14,3.1,Works well enough. The Galaxy Buds FE is functional but has some minor issues.,2025-01-20
9,90929,4,4.7,Best Eyeshadow Primer Potion I've tried! Highly recommend to anyone looking for quality beauty products.,2025-01-07
10,88667,23,4.5,"Good Galaxy Tab S9+, works as expected. Nothing extraordinary but gets the job done.",2025-03-30
11,99954,74,5.0,Love this Naked Eyeshadow Palette! Great pigmentation and long-lasting wear.,2025-08-03
12,80800,6,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-03-16
13,91023,1,1.6,Not worth the money. The PlayStation 5 doesn't work as advertised.,2024-09-25
14,89232,56,4.0,"Good Alpha 7 IV, works as expected. Nothing extraordinary but gets the job done.",2025-07-13
15,66651,81,5.0,Great Leggings! Fits perfectly and the material is soft and comfortable.,2025-04-20
16,37337,50,2.5,Terrible Studio Fix Foundation. The formula is bad and it doesn't last at all.,2024-12-16
17,92964,48,4.1,Nice Superstar but the sizing runs a bit small. Good quality overall.,2025-05-08
18,91589,93,3.5,It's fine. Does what it's supposed to do but I've seen better in this price range.,2025-06-02
19,82625,32,5.0,Amazing product! Great value for money and the quality is top-notch.,2024-09-24
20,94700,7,5.0,Beautiful Pro Shorts! The color and fit are perfect. Will definitely buy again.,2024-12-19
21,94083,18,3.3,"Works well enough. The iPad Pro 11"" is functional but has some minor issues.",2024-11-01
22,98390,87,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2024-11-02
23,41678,99,5.0,Great Gym Bag! Fits perfectly and the material is soft and comfortable.,2025-08-17
24,89338,24,1.7,Cheap material. The Swoosh Cap doesn't look anything like the picture.,2025-05-13
25,58916,43,5.0,Excellent Lightful C Marine-Bright! Great value for money and the results are outstanding.,2025-07-18
26,90286,10,4.8,Perfect fit and great quality! The React Element 55 looks exactly like the picture.,2025-05-28
27,87223,56,5.0,Worth every penny. The Alpha 7 IV is exactly what I needed and works flawlessly.,2025-05-24
28,5948,12,2.8,Not worth the money. The Galaxy Tab S9 Ultra doesn't work as advertised.,2024-12-29
29,93777,48,3.1,Nice Superstar but the sizing runs a bit small. Good quality overall.,2025-01-14
30,95423,29,5.0,Worth every penny. The Galaxy A54 is exactly what I needed and works flawlessly.,2025-02-03
31,9115,42,2.6,Waste of money. The Foaming Facial Cleanser is overpriced for such poor quality.,2024-12-31
32,5948,99,5.0,Beautiful Gym Bag! The color and fit are perfect. Will definitely buy again.,2024-10-01
33,14357,48,5.0,Great Superstar! Fits perfectly and the material is soft and comfortable.,2024-10-04
34,95773,71,3.5,"Average MacBook Pro 14"". Not bad but not great either. Would consider other options next time.",2025-04-22
35,88773,93,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-05-03
36,81268,78,4.0,Decent quality for the price. The Galaxy S24 Ultra is okay but could be better.,2024-11-03
37,44928,56,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-01-26
38,80667,61,4.6,Great Windbreaker! Fits perfectly and the material is soft and comfortable.,2025-07-16
39,6147,79,2.0,Would not recommend. The Air Jordan 1 is overpriced for such poor quality.,2025-01-26
40,80638,24,4.8,Beautiful Swoosh Cap! The color and fit are perfect. Will definitely buy again.,2025-08-02
41,92969,49,1.5,Had issues with this Galaxy Buds2 from day one. Customer service was not helpful.,2024-10-08
42,99155,12,2.8,Poor quality. The Galaxy Tab S9 Ultra broke after just a few weeks of use.,2024-10-25
43,92969,81,4.5,"Love this Leggings! Comfortable, stylish, and true to size.",2025-01-06
44,97571,2,4.1,"Good Apple Watch Band, works as expected. Nothing extraordinary but gets the job done.",2024-12-03
45,10562,74,4.1,Good Naked Eyeshadow Palette. Works well but the packaging could be better.,2025-03-21
46,38327,60,4.5,Good Niacinamide 10% + Zinc 1%. Works well but the packaging could be better.,2025-07-11
47,99782,63,4.6,Love this Prep + Prime Fix+! Great pigmentation and long-lasting wear.,2025-07-16
48,84828,38,4.2,"Good Tech 2.0 T-Shirt, works as expected. Nothing extraordinary but gets the job done.",2024-09-17
49,97036,70,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-09-04
50,97713,36,2.6,Waste of money. The 3-Stripes Cap is poorly made and uncomfortable.,2025-03-11
51,50762,18,4.2,"Decent quality for the price. The iPad Pro 11"" is okay but could be better.",2025-06-30
52,98379,62,4.5,Great Gazelle! Fits perfectly and the material is soft and comfortable.,2025-03-23
53,86089,104,5.0,"Perfect! Fast shipping, great packaging, and the iPhone SE exceeded my expectations.",2024-10-03
54,83492,94,4.8,Amazing Prep + Prime Skin! The quality is fantastic and it works exactly as described.,2025-04-19
55,86883,71,4.3,"Average MacBook Pro 14"". Not bad but not great either. Would consider other options next time.",2024-10-09
56,98015,6,4.7,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-07-28
57,97573,74,2.8,Terrible Naked Eyeshadow Palette. The formula is bad and it doesn't last at all.,2024-12-09
58,94288,1,5.0,Absolutely love this PlayStation 5! The quality is outstanding and it works exactly as described.,2025-07-20
59,87501,81,4.8,Excellent quality fabric and construction. Very happy with this purchase.,2025-06-15
60,13542,36,5.0,"Love this 3-Stripes Cap! Comfortable, stylish, and true to size.",2025-08-14
61,27476,18,3.8,"Decent quality for the price. The iPad Pro 11"" is okay but could be better.",2025-01-16
62,70098,21,5.0,"Perfect! Fast shipping, great packaging, and the Galaxy Book4 Pro exceeded my expectations.",2025-08-20
63,90278,8,2.5,Would not recommend. The ZV-1M2 is cheaply made and doesn't last.,2024-09-12
64,83339,21,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-01-17
65,90885,18,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-06-08
66,90476,102,5.0,Absolutely love this Galaxy Tab S9! The quality is outstanding and it works exactly as described.,2025-06-19
67,94355,101,4.5,Perfect fit and great quality! The Hoodie looks exactly like the picture.,2024-11-29
68,1319,15,5.0,Best All Nighter Setting Spray I've tried! Highly recommend to anyone looking for quality beauty products.,2025-06-14
69,40679,60,5.0,Amazing Niacinamide 10% + Zinc 1%! The quality is fantastic and it works exactly as described.,2025-05-29
70,85763,24,4.7,Perfect fit and great quality! The Swoosh Cap looks exactly like the picture.,2025-01-02
71,85854,47,3.7,Good quality but the Air Max 270 is a bit overpriced for what you get.,2025-04-29
72,86089,73,2.0,Not worth the money. The Galaxy Tab A8 doesn't work as advertised.,2024-12-11
73,97636,104,4.3,"Good iPhone SE, works as expected. Nothing extraordinary but gets the job done.",2025-08-31
74,92087,62,3.6,Nice Gazelle but the sizing runs a bit small. Good quality overall.,2025-06-26
75,63513,65,5.0,"Perfect! Fast shipping, great packaging, and the Galaxy Z Fold5 exceeded my expectations.",2024-09-30
76,86286,38,3.6,Works well enough. The Tech 2.0 T-Shirt is functional but has some minor issues.,2025-05-01
77,76473,60,4.5,Decent quality. The Niacinamide 10% + Zinc 1% is okay but I've used better in this price range.,2025-06-07
78,95083,53,4.5,"Perfect! Fast shipping, great packaging, and the iPad Air exceeded my expectations.",2025-08-09
79,85801,61,5.0,Perfect fit and great quality! The Windbreaker looks exactly like the picture.,2025-03-05
80,92423,80,5.0,"Love this Dri-FIT T-Shirt! Comfortable, stylish, and true to size.",2024-10-16
81,97455,26,5.0,Absolutely love this iPhone 13! The quality is outstanding and it works exactly as described.,2025-01-11
82,24919,99,5.0,Excellent quality fabric and construction. Very happy with this purchase.,2025-05-30
83,32082,6,3.7,Works well enough. The AirPods Pro (2nd gen) is functional but has some minor issues.,2025-03-16
84,90192,29,5.0,"Perfect! Fast shipping, great packaging, and the Galaxy A54 exceeded my expectations.",2025-08-03
85,24919,101,5.0,Excellent quality fabric and construction. Very happy with this purchase.,2025-06-24
86,94239,98,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-01-03
87,54247,68,2.8,Waste of money. The Vice Lipstick is overpriced for such poor quality.,2025-01-21
88,67486,5,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-03-15
89,86901,29,5.0,"Perfect! Fast shipping, great packaging, and the Galaxy A54 exceeded my expectations.",2024-10-21
90,82750,70,4.5,Decent quality for the price. The Pulse 3D Headset is okay but could be better.,2025-08-17
91,84593,103,3.8,It's fine. The Adicolor Classics fits okay but the color is slightly different than pictured.,2025-08-31
92,30258,18,4.3,"Good iPad Pro 11"", works as expected. Nothing extraordinary but gets the job done.",2025-02-03
93,93624,57,5.0,Great Air Force 1! Fits perfectly and the material is soft and comfortable.,2025-02-18
94,73878,58,5.0,"Perfect! Fast shipping, great packaging, and the Galaxy Buds Live exceeded my expectations.",2025-07-10
95,83056,51,3.5,Nice Trefoil T-Shirt but the sizing runs a bit small. Good quality overall.,2024-12-02
96,83552,5,4.3,It's fine. Does what it's supposed to do but I've seen better in this price range.,2024-11-10
97,51308,6,4.6,Absolutely love this AirPods Pro (2nd gen)! The quality is outstanding and it works exactly as described.,2025-03-22
98,32621,77,2.2,Disappointed with this Monopoly Classic. Quality is not what I expected for the price.,2025-05-07
99,95913,60,5.0,Amazing Niacinamide 10% + Zinc 1%! The quality is fantastic and it works exactly as described.,2025-05-14
100,94044,88,1.3,"Poor quality. The MacBook Pro 16"" broke after just a few weeks of use.",2024-10-25
101,56070,57,5.0,"Love this Air Force 1! Comfortable, stylish, and true to size.",2024-12-20
