review_id,user_id,product_id,rating,review_text,review_date
1,13929,79,3.1,The construction of this Target String Lights is weak and unreliable.,2025-09-04
2,14520,42,3.2,Terrible Hydration Belt. Cheap materials and poor performance.,2025-08-17
3,34834,93,4.4,This MAC Moisturizer is perfect for sensitive skin. No adverse reactions.,2024-09-23
4,3679,38,3.5,This OnePlus Phone Case - Pink is not user-friendly at all. Very frustrating to use.,2025-01-14
5,81334,92,4.1,I'm so happy with this Windbreaker (M)! The fabric is soft and comfortable.,2025-02-08
6,73617,93,4.1,I love how this MAC Moisturizer makes my skin feel. Soft and smooth.,2025-04-01
7,98196,68,4.4,I love everything about this Sennheiser HD 660S - Brown. It's perfect for my needs.,2025-01-18
8,95461,59,4.0,Excellent purchase! This Logitech OnePlus 12 works better than I could have hoped.,2025-05-08
9,44824,65,4.2,This Mattel Construction Set has provided hours of entertainment. Highly recommend!,2025-03-16
10,59311,34,3.9,The material of this H&M Shorts (One Size) is not suitable for sensitive skin.,2025-06-29
11,53673,48,3.8,I'm frustrated with this Collectible Figure - White. It doesn't work properly.,2025-07-30
12,29285,32,4.1,This Yoga Wheel is perfect for my workouts! Great quality and very durable.,2025-02-26
13,73114,14,3.4,This Backpack - Silver (XL) is a waste of money. Doesn't look like the picture at all.,2025-04-20
14,84047,48,4.1,I've been recommending this Collectible Figure - White to other parents. It's that good!,2024-09-04
15,27096,71,4.4,The performance of this New Balance Ski Socks - Orange is consistent and reliable.,2024-09-08
16,15066,97,3.8,The sizing of this Calvin Klein Running Shorts is inconsistent. Different parts fit differently.,2025-02-23
17,64406,35,4.3,The style of this Jeans is modern and flattering.,2025-06-14
18,55149,66,3.7,This MAC Nail Polish is not gentle on skin. Caused dryness and irritation.,2024-11-17
19,8797,93,4.7,This MAC Moisturizer is a game-changer for my skincare routine.,2025-03-26
20,45775,86,4.0,I'm amazed by the comfort and quality of this Uniqlo Hat - Orange.,2025-04-05
21,95239,73,4.4,The design of this Knife Set is beautiful and functional. Love it!,2025-06-14
22,83335,92,4.9,This Windbreaker (M) is outstanding! Excellent quality and perfect fit.,2024-11-27
23,15750,26,4.4,This Coleman Compression Socks - Red is ideal for serious training. Professional-grade quality.,2025-04-04
24,32450,72,5.0,This Puma Maxi Dress (XL) is versatile and can be dressed up or down easily.,2025-01-01
25,88655,8,4.1,The application of this The Ordinary Nail Art Kit is easy and the results are great.,2025-03-06
