review_id,user_id,product_id,rating,review_text,review_date
1,99056,53,5.0,Absolutely love this Galaxy S24! The quality is outstanding and it works exactly as described.,2024-12-20
2,64031,97,5.0,Excellent quality fabric and construction. Very happy with this purchase.,2025-03-06
3,79295,47,5.0,Excellent quality fabric and construction. Very happy with this purchase.,2025-09-01
4,87475,31,4.7,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2024-12-28
5,60377,61,5.0,"Love this NMD R1! Comfortable, stylish, and true to size.",2024-10-29
6,93152,3,5.0,Amazing product! Great value for money and the quality is top-notch.,2024-11-14
7,97405,45,5.0,"Love this Air Max 270! Comfortable, stylish, and true to size.",2025-01-10
8,93683,82,4.5,"Perfect! Fast shipping, great packaging, and the Galaxy Tab A8 exceeded my expectations.",2025-06-30
9,92360,98,4.7,Amazing Vice Lipstick! The quality is fantastic and it works exactly as described.,2025-07-17
10,47582,5,2.3,Would not recommend. The Great Lash Mascara is cheaply made and doesn't deliver results.,2024-12-15
11,81658,78,4.4,Works well enough. The Galaxy S24+ is functional but has some minor issues.,2024-11-29
12,83358,87,4.1,Nice Air Jordan 1 but the sizing runs a bit small. Good quality overall.,2025-07-23
13,97250,36,5.0,"Perfect! Fast shipping, great packaging, and the Alpha 7R V exceeded my expectations.",2024-12-04
14,217,25,5.0,Great Tiro Pants! Fits perfectly and the material is soft and comfortable.,2025-07-30
15,80638,43,3.4,"Average iPad Pro 11"". Not bad but not great either. Would consider other options next time.",2025-01-19
16,93879,28,1.1,Would not recommend. The HEMNES Dresser is cheaply made and doesn't last.,2025-03-01
17,18541,17,4.7,"Worth every penny. The iPad Pro 12.9"" is exactly what I needed and works flawlessly.",2025-03-08
18,89868,14,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2024-12-14
19,83118,98,3.7,Decent quality. The Vice Lipstick is okay but I've used better in this price range.,2025-07-29
20,83249,49,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-01-24
21,66178,37,5.0,"Love this Adicolor Backpack! Comfortable, stylish, and true to size.",2024-12-09
22,9525,22,2.2,Not worth the money. The WH-CH720N doesn't work as advertised.,2025-04-18
23,45486,80,4.6,Best All Nighter Setting Spray I've tried! Highly recommend to anyone looking for quality beauty products.,2025-06-04
24,92545,49,4.1,Average Beats Studio3. Not bad but not great either. Would consider other options next time.,2025-02-22
25,82474,73,4.9,Amazing Prep + Prime Fix+! The quality is fantastic and it works exactly as described.,2025-02-20
26,38525,104,3.1,Works well enough. The Galaxy A54 is functional but has some minor issues.,2025-03-25
27,95093,34,5.0,Worth every penny. The iPhone 15 Pro is exactly what I needed and works flawlessly.,2025-07-23
28,66500,33,4.7,Excellent quality fabric and construction. Very happy with this purchase.,2025-02-04
29,47073,14,5.0,Worth every penny. The PlayStation 5 Digital is exactly what I needed and works flawlessly.,2024-12-31
30,84018,96,4.6,Amazing product! Great value for money and the quality is top-notch.,2025-08-26
31,87949,82,4.6,Amazing product! Great value for money and the quality is top-notch.,2025-06-26
32,17685,102,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-03-25
33,14035,77,5.0,"Perfect! Fast shipping, great packaging, and the MacBook Pro 16"" exceeded my expectations.",2025-06-28
34,20143,7,5.0,Absolutely love this Apple Watch Band! The quality is outstanding and it works exactly as described.,2025-04-14
35,87454,28,5.0,Worth every penny. The HEMNES Dresser is exactly what I needed and works flawlessly.,2025-08-15
36,86176,55,5.0,Amazing Niacinamide 10% + Zinc 1%! The quality is fantastic and it works exactly as described.,2025-06-20
37,81268,46,5.0,Perfect! The Eyeshadow Palette exceeded my expectations and arrived quickly.,2024-11-03
38,60905,39,5.0,Excellent Eyeshadow Primer Potion! Great value for money and the results are outstanding.,2024-10-04
39,16848,82,5.0,Worth every penny. The Galaxy Tab A8 is exactly what I needed and works flawlessly.,2025-04-21
40,88271,95,5.0,Great Trefoil Socks! Fits perfectly and the material is soft and comfortable.,2024-09-28
41,94462,42,2.4,Not worth the money. The WF-1000XM4 doesn't work as advertised.,2025-04-21
42,95040,59,4.7,Absolutely love this WH-1000XM5! The quality is outstanding and it works exactly as described.,2025-05-30
43,93213,64,4.7,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2024-09-30
44,73860,39,4.1,Average Eyeshadow Primer Potion. Not bad but not great either. Would consider other options.,2024-12-13
45,87757,48,5.0,Perfect! The Studio Moisture Cream exceeded my expectations and arrived quickly.,2024-10-01
46,93701,89,3.0,It's fine. The Leggings fits okay but the color is slightly different than pictured.,2024-12-08
47,98465,41,4.1,"Good MagSafe Charger, works as expected. Nothing extraordinary but gets the job done.",2025-01-09
48,88903,33,5.0,Beautiful Adicolor Classics! The color and fit are perfect. Will definitely buy again.,2025-08-15
49,64428,45,3.1,Decent Air Max 270. The material is okay but not as soft as I expected.,2025-06-11
50,99214,101,4.5,Worth every penny. The Galaxy Buds FE is exactly what I needed and works flawlessly.,2025-04-03
51,74737,6,4.2,Decent quality for the price. The Galaxy Buds2 Pro is okay but could be better.,2025-09-03
52,83858,53,5.0,Amazing product! Great value for money and the quality is top-notch.,2024-11-16
53,94545,76,5.0,Perfect fit and great quality! The Pro Shorts looks exactly like the picture.,2025-02-06
54,69083,62,1.9,Waste of money. The Studio Fix Foundation is overpriced for such poor quality.,2025-08-19
55,99181,87,2.1,Waste of money. The Air Jordan 1 is poorly made and uncomfortable.,2025-01-12
56,74493,35,3.7,Works well enough. The Galaxy Buds2 is functional but has some minor issues.,2025-08-27
57,58461,56,1.4,Terrible fit. The Ultraboost 22 is way too small despite ordering the correct size.,2025-02-22
58,80881,60,5.0,Worth every penny. The Lightning to USB-C Cable is exactly what I needed and works flawlessly.,2025-04-27
59,54981,23,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-06-28
60,93130,70,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-05-04
61,95110,84,5.0,Best Ruby Woo Lipstick I've tried! Highly recommend to anyone looking for quality beauty products.,2025-08-16
62,93619,46,3.1,Works okay. The Eyeshadow Palette is functional but has some minor issues.,2024-09-18
63,76458,4,1.4,Poor quality. The iPad Air broke after just a few weeks of use.,2025-08-24
64,92157,67,5.0,"Perfect! Fast shipping, great packaging, and the FX30 exceeded my expectations.",2025-06-13
65,95824,6,4.3,Works well enough. The Galaxy Buds2 Pro is functional but has some minor issues.,2025-04-30
66,79809,73,2.8,Disappointed with this Prep + Prime Fix+. Quality is not what I expected.,2025-06-02
67,96122,72,4.3,Good quality but the Water Bottle is a bit overpriced for what you get.,2024-10-03
68,90242,60,5.0,"Perfect! Fast shipping, great packaging, and the Lightning to USB-C Cable exceeded my expectations.",2025-02-09
69,81378,98,4.2,Decent quality. The Vice Lipstick is okay but I've used better in this price range.,2024-09-15
70,90240,34,5.0,"Perfect! Fast shipping, great packaging, and the iPhone 15 Pro exceeded my expectations.",2025-01-08
71,79433,54,4.6,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-02-12
72,93370,24,5.0,Worth every penny. The Better Sweater Jacket is exactly what I needed and works flawlessly.,2025-08-25
73,80683,95,5.0,Great Trefoil Socks! Fits perfectly and the material is soft and comfortable.,2024-10-12
74,84593,62,3.5,Average Studio Fix Foundation. Not bad but not great either. Would consider other options.,2025-04-29
75,91528,43,4.9,Amazing product! Great value for money and the quality is top-notch.,2024-12-31
76,2471,1,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-01-15
77,84694,33,5.0,Excellent quality fabric and construction. Very happy with this purchase.,2025-03-12
78,81888,102,5.0,Absolutely love this Creator 3-in-1 Set! The quality is outstanding and it works exactly as described.,2025-04-29
79,43084,48,4.7,Excellent Studio Moisture Cream! Great value for money and the results are outstanding.,2025-01-18
80,91455,102,5.0,Best toys purchase I've made in years. Highly recommend to anyone looking for quality.,2024-10-13
81,82778,35,4.4,"Good Galaxy Buds2, works as expected. Nothing extraordinary but gets the job done.",2024-09-25
82,94409,57,5.0,Love this True Match Foundation! Great pigmentation and long-lasting wear.,2025-07-31
83,83913,8,3.3,Decent Dri-FIT Socks. The material is okay but not as soft as I expected.,2025-07-10
84,94865,65,5.0,Absolutely love this BILLY Bookcase! The quality is outstanding and it works exactly as described.,2025-02-28
85,95458,89,5.0,Great Leggings! Fits perfectly and the material is soft and comfortable.,2025-04-16
86,88192,93,5.0,Perfect! The Prep + Prime Skin exceeded my expectations and arrived quickly.,2024-10-03
87,83368,24,4.2,It's fine. Does what it's supposed to do but I've seen better in this price range.,2025-01-24
88,99395,68,3.3,Decent quality for the price. The Galaxy Book4 Pro is okay but could be better.,2025-03-25
89,39342,73,3.8,Good Prep + Prime Fix+. Works well but the packaging could be better.,2025-07-15
90,84481,63,5.0,"Perfect! Fast shipping, great packaging, and the Monopoly Classic exceeded my expectations.",2025-08-05
91,45278,39,4.1,Works okay. The Eyeshadow Primer Potion is functional but has some minor issues.,2024-09-09
92,92984,34,5.0,"Perfect! Fast shipping, great packaging, and the iPhone 15 Pro exceeded my expectations.",2025-05-01
93,80961,56,4.8,Perfect fit and great quality! The Ultraboost 22 looks exactly like the picture.,2025-06-09
94,84306,44,5.0,"Perfect! Fast shipping, great packaging, and the Galaxy Tab S9 exceeded my expectations.",2024-11-28
95,95458,60,4.6,"Perfect! Fast shipping, great packaging, and the Lightning to USB-C Cable exceeded my expectations.",2025-06-03
96,94075,66,5.0,Absolutely love this Galaxy Tab S9+! The quality is outstanding and it works exactly as described.,2025-01-11
97,89876,104,3.2,Works well enough. The Galaxy A54 is functional but has some minor issues.,2025-08-09
98,6737,17,2.8,"Disappointed with this iPad Pro 12.9"". Quality is not what I expected for the price.",2025-08-18
99,82584,64,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-07-18
100,96561,8,4.0,Good quality but the Dri-FIT Socks is a bit overpriced for what you get.,2025-03-30
101,31984,94,5.0,Worth every penny. The AirPods Max is exactly what I needed and works flawlessly.,2025-07-24
102,89440,25,3.7,It's fine. The Tiro Pants fits okay but the color is slightly different than pictured.,2025-01-15
103,2309,47,4.8,Beautiful Blazer Mid! The color and fit are perfect. Will definitely buy again.,2024-11-24
104,98838,50,1.9,Would not recommend. The Alpha 6700 is cheaply made and doesn't last.,2025-03-28
105,83731,89,5.0,Beautiful Leggings! The color and fit are perfect. Will definitely buy again.,2024-10-10
106,96403,90,5.0,"Love this Dri-FIT T-Shirt! Comfortable, stylish, and true to size.",2025-01-29
107,89264,65,5.0,Best home purchase I've made in years. Highly recommend to anyone looking for quality.,2024-10-11
108,86239,76,5.0,Great Pro Shorts! Fits perfectly and the material is soft and comfortable.,2025-07-19
109,91093,100,5.0,Beautiful Superstar! The color and fit are perfect. Will definitely buy again.,2024-11-11
110,49898,31,3.9,Decent quality for the price. The iPhone 15 is okay but could be better.,2025-06-14
111,99575,82,2.3,Not worth the money. The Galaxy Tab A8 doesn't work as advertised.,2025-07-26
112,13286,8,4.2,Average Dri-FIT Socks. Nothing special but it serves its purpose.,2025-02-28
113,99997,54,5.0,"Perfect! Fast shipping, great packaging, and the Galaxy Z Fold5 exceeded my expectations.",2025-06-10
114,88924,78,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-02-24
115,39553,39,4.4,It's fine. The Eyeshadow Primer Potion does what it's supposed to do but nothing special.,2025-05-26
116,75849,18,4.4,It's fine. Does what it's supposed to do but I've seen better in this price range.,2025-07-26
117,95680,92,3.7,Average ZV-1M2. Not bad but not great either. Would consider other options next time.,2025-04-13
118,30676,72,4.1,Decent Water Bottle. The material is okay but not as soft as I expected.,2024-10-31
119,25769,51,5.0,Amazing product! Great value for money and the quality is top-notch.,2024-09-29
120,87045,80,5.0,Excellent All Nighter Setting Spray! Great value for money and the results are outstanding.,2025-07-31
121,92727,78,5.0,"Perfect! Fast shipping, great packaging, and the Galaxy S24+ exceeded my expectations.",2025-01-10
122,97250,67,5.0,Worth every penny. The FX30 is exactly what I needed and works flawlessly.,2025-03-03
123,84035,17,5.0,"Perfect! Fast shipping, great packaging, and the iPad Pro 12.9"" exceeded my expectations.",2025-02-24
124,92551,43,4.8,Amazing product! Great value for money and the quality is top-notch.,2025-01-13
125,97728,97,3.5,Nice Stan Smith but the sizing runs a bit small. Good quality overall.,2025-07-29
126,1369,51,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-04-13
127,74387,42,3.8,Average WF-1000XM4. Not bad but not great either. Would consider other options next time.,2025-06-13
128,5280,17,4.5,"Absolutely love this iPad Pro 12.9""! The quality is outstanding and it works exactly as described.",2025-07-01
129,76678,22,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-08-08
130,65104,68,5.0,Absolutely love this Galaxy Book4 Pro! The quality is outstanding and it works exactly as described.,2025-04-09
131,93317,92,4.5,Amazing product! Great value for money and the quality is top-notch.,2025-08-01
132,2379,29,5.0,"Love this React Element 55! Comfortable, stylish, and true to size.",2024-10-17
133,18559,48,4.5,Average Studio Moisture Cream. Not bad but not great either. Would consider other options.,2025-07-28
134,85972,3,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2024-09-04
135,89554,51,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-04-09
136,97954,7,5.0,Amazing product! Great value for money and the quality is top-notch.,2024-12-26
