product_id,name,brand,category,subcategory,price,stock_quantity,rating,description
1,iPhone 14 Pro,Apple,Electronics,Smartphones,1212.79,16,3.4,High-quality smartphones from Apple. iPhone 14 Pro features premium materials and cutting-edge technology. Perfect for both personal and professional use.
2,Tech 2.0 T-Shirt,Under Armour,Sports,Fitness,190.49,39,5.0,High-performance fitness from Under Armour. Tech 2.0 T-Shirt is designed for athletes and fitness enthusiasts. Durable construction and superior comfort.
3,iPhone 14,Apple,Electronics,Smartphones,1855.95,70,1.7,High-quality smartphones from Apple. iPhone 14 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
4,iPad Air,Apple,Electronics,Tablets,1112.99,89,5.0,High-quality tablets from Apple. iPad Air features premium materials and cutting-edge technology. Perfect for both personal and professional use.
5,Great Lash Mascara,Maybelline,Beauty,Makeup,16.49,481,3.4,Professional-grade makeup from Maybelline. Great Lash Mascara delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
6,Galaxy Buds2 Pro,Samsung,Electronics,Headphones,143.49,174,5.0,High-quality headphones from Samsung. Galaxy Buds2 Pro features premium materials and cutting-edge technology. Perfect for both personal and professional use.
7,Apple Watch Band,Apple,Electronics,Accessories,36.0,292,3.8,High-quality accessories from Apple. Apple Watch Band features premium materials and cutting-edge technology. Perfect for both personal and professional use.
8,Dri-FIT Socks,Nike,Clothing,Accessories,97.99,137,2.8,Stylish and comfortable accessories from Nike. Dri-FIT Socks is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
9,Pulse 3D Headset,Sony,Electronics,Gaming,883.0,34,4.4,High-quality gaming from Sony. Pulse 3D Headset features premium materials and cutting-edge technology. Perfect for both personal and professional use.
10,Lightful C Marine-Bright,MAC,Beauty,Skincare,117.95,32,3.3,Professional-grade skincare from MAC. Lightful C Marine-Bright delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
11,Air Force 1,Nike,Clothing,Shoes,59.95,119,5.0,Stylish and comfortable shoes from Nike. Air Force 1 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
12,3-Stripes Cap,Adidas,Clothing,Accessories,99.79,115,5.0,Stylish and comfortable accessories from Adidas. 3-Stripes Cap is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
13,"MacBook Pro 14""",Apple,Electronics,Laptops,4614.0,73,4.7,"High-quality laptops from Apple. MacBook Pro 14"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
14,PlayStation 5 Digital,Sony,Electronics,Gaming,479.49,67,3.7,High-quality gaming from Sony. PlayStation 5 Digital features premium materials and cutting-edge technology. Perfect for both personal and professional use.
15,Galaxy S24 Ultra,Samsung,Electronics,Smartphones,673.49,76,5.0,High-quality smartphones from Samsung. Galaxy S24 Ultra features premium materials and cutting-edge technology. Perfect for both personal and professional use.
16,WH-1000XM4,Sony,Electronics,Headphones,149.49,65,4.2,High-quality headphones from Sony. WH-1000XM4 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
17,"iPad Pro 12.9""",Apple,Electronics,Tablets,741.79,43,5.0,"High-quality tablets from Apple. iPad Pro 12.9"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
18,WF-1000XM5,Sony,Electronics,Headphones,358.0,97,4.6,High-quality headphones from Sony. WF-1000XM5 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
19,Windbreaker,Nike,Clothing,Activewear,74.99,66,5.0,Stylish and comfortable activewear from Nike. Windbreaker is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
