product_id,sku,name,brand,category,subcategory,price,description,weight,dimensions,color,size,stock_quantity,rating,review_count,is_featured,is_digital,shipping_class
1,SON6236C,Sony Bluetooth Speaker - Orange,Sony,Electronics,Accessories,143.36,The Sony Bluetooth Speaker - Orange delivers exceptional value and quality. Perfect for everyday use.,7.96,37x19x5 cm,Various,One Size,81,5.0,414,False,False,Heavy
2,WAY3126A,Wayfair Dresser,Wayfair,Home,Furniture,99.31,"Discover why the Wayfair Dresser is a customer favorite. Reliable, stylish, and affordable.",7.71,41x9x6 cm,Various,One Size,188,4.2,154,False,False,Heavy
3,HAS1907A,Art Supplies - Gray,Hasbro,Toys,Educational,95.94,Experience the difference with the Art Supplies - Gray. Premium materials and expert craftsmanship.,8.47,21x17x19 cm,Orange,One Size,463,4.6,315,False,False,Heavy
4,SPA6531A,Spalding Tennis Racket,Spalding,Sports,Team Sports,126.41,The Spalding Tennis Racket combines form and function for the perfect addition to your collection.,2.72,18x41x15 cm,Black,One Size,0,0.0,0,False,False,Heavy
5,GLO5873D,Hand Cream,Glossier,Beauty,Body Care,7.55,The Hand Cream delivers exceptional value and quality. Perfect for everyday use.,3.47,14x25x12 cm,Silver,One Size,325,4.0,138,False,False,Standard
6,TOO3308A,Too Faced Mascara - Blue,Too Faced,Beauty,Makeup,8.8,The Too Faced Mascara - Blue offers professional-quality makeup for everyday wear. Easy to apply and blend.,9.34,25x17x7 cm,Gray,One Size,112,4.4,60,False,False,Heavy
7,WES4524C,West Elm Office Chair,West Elm,Home,Furniture,86.49,"Discover why the West Elm Office Chair is a customer favorite. Reliable, stylish, and affordable.",2.93,5x11x15 cm,Green,One Size,157,4.1,187,False,False,Standard
8,FEN5728A,Fenty Beauty Moisturizer - Gray,Fenty Beauty,Beauty,Skincare,24.23,Nourish your skin with the Fenty Beauty Moisturizer - Gray. Formulated with premium ingredients for visible results.,9.75,30x28x12 cm,Yellow,One Size,164,4.3,50,False,False,Heavy
9,WIL8761D,Wilson Running Shoes - Yellow,Wilson,Sports,Running,51.06,Experience the difference with the Wilson Running Shoes - Yellow. Premium materials and expert craftsmanship.,1.71,44x24x20 cm,Silver,One Size,40,4.6,363,False,False,Heavy
10,BRO7824C,Brooks Ski Goggles,Brooks,Sports,Winter Sports,326.83,"Discover why the Brooks Ski Goggles is a customer favorite. Reliable, stylish, and affordable.",2.73,46x42x20 cm,Black,One Size,181,3.7,81,False,False,Heavy
11,HAS2800B,Hasbro Bike,Hasbro,Toys,Outdoor,31.18,The Hasbro Bike combines form and function for the perfect addition to your collection.,9.21,8x50x6 cm,Gray,One Size,453,5.0,306,False,False,Heavy
12,NEW9950C,New Balance Running Watch,New Balance,Sports,Running,143.28,Experience the difference with the New Balance Running Watch. Premium materials and expert craftsmanship.,6.14,17x20x10 cm,Blue,One Size,179,3.6,93,False,False,Heavy
13,NEU5480C,Neutrogena Hair Dye - Gold,Neutrogena,Beauty,Hair Care,16.09,Experience the difference with the Neutrogena Hair Dye - Gold. Premium materials and expert craftsmanship.,0.52,50x10x13 cm,Various,One Size,106,3.5,23,False,False,Light
14,LUL4920B,Cardigan (Large),Lululemon,Clothing,Outerwear,62.69,"Discover why the Cardigan (Large) is a customer favorite. Reliable, stylish, and affordable.",3.37,35x11x6 cm,Gray,One Size,64,0.0,0,False,False,Standard
15,NES1969A,Plant Stand - Green,Nespresso,Home,Garden,271.35,The Plant Stand - Green delivers exceptional value and quality. Perfect for everyday use.,4.24,16x7x14 cm,Red,One Size,194,4.9,69,False,False,Standard
16,L'O5662D,L'Oréal Toner - Yellow,L'Oréal,Beauty,Skincare,49.54,The L'Oréal Toner - Yellow delivers professional-quality skincare at home. Gentle yet effective formula.,2.01,12x26x7 cm,Orange,One Size,39,4.7,289,False,False,Standard
17,DIS3875D,Disney Language Learning,Disney,Toys,Educational,101.83,The Disney Language Learning delivers exceptional value and quality. Perfect for everyday use.,4.83,20x5x10 cm,Purple,One Size,0,4.6,144,False,False,Standard
18,URB8625C,Urban Decay Face Mask - White,Urban Decay,Beauty,Skincare,14.71,Nourish your skin with the Urban Decay Face Mask - White. Formulated with premium ingredients for visible results.,6.42,23x28x9 cm,Red,One Size,185,4.6,403,False,False,Heavy
19,ASI4578B,Bike Rack,ASICS,Sports,Cycling,356.15,Experience the difference with the Bike Rack. Premium materials and expert craftsmanship.,0.87,41x12x3 cm,Various,One Size,25,4.2,155,False,False,Heavy
20,UND4365D,Hockey Stick,Under Armour,Sports,Team Sports,27.28,"Discover why the Hockey Stick is a customer favorite. Reliable, stylish, and affordable.",4.62,8x40x16 cm,Green,One Size,19,3.7,70,False,False,Heavy
21,HP9866A,HP AirPods Pro - White,HP,Electronics,Headphones,468.6,The HP AirPods Pro - White delivers studio-quality sound with active noise cancellation and wireless convenience.,1.88,13x46x15 cm,Gold,One Size,683,0.0,0,False,False,Standard
22,WES9802D,West Elm Pendant Light - Red,West Elm,Home,Lighting,170.43,Experience the difference with the West Elm Pendant Light - Red. Premium materials and expert craftsmanship.,4.68,39x32x19 cm,Blue,One Size,62,4.2,25,False,False,Standard
23,CHA1256B,Chanel Conditioner,Chanel,Beauty,Hair Care,20.3,High-quality hair care from Chanel. Designed for durability and performance.,2.52,7x30x16 cm,Blue,One Size,117,3.8,91,False,False,Standard
24,H&M4881C,H&M Running Shoes,H&M,Clothing,Shoes,180.2,Experience comfort and style with the H&M Running Shoes. Designed for the modern lifestyle.,9.49,16x45x15 cm,Black,One Size,110,4.8,81,False,False,Heavy
25,YET9813D,Yeti Bike Computer - Red,Yeti,Sports,Cycling,158.44,"Discover why the Yeti Bike Computer - Red is a customer favorite. Reliable, stylish, and affordable.",9.16,40x31x15 cm,Red,One Size,186,0.0,0,False,False,Heavy
26,CHA4120A,Setting Powder - Navy,Chanel,Beauty,Makeup,25.13,"Create flawless looks with the Setting Powder - Navy. High-pigment formula for bold, beautiful results.",6.75,18x35x8 cm,Various,One Size,23,4.1,170,False,False,Heavy
27,JBL8846B,Sony WH-1000XM5 - Beige,JBL,Electronics,Headphones,353.9,The Sony WH-1000XM5 - Beige delivers studio-quality sound with active noise cancellation and wireless convenience.,4.72,46x27x11 cm,Gray,One Size,66,3.7,41,False,False,Standard
28,DIS1749B,Electronic Keyboard - Pink,Disney,Toys,Electronic,230.14,"Discover why the Electronic Keyboard - Pink is a customer favorite. Reliable, stylish, and affordable.",3.02,17x26x9 cm,Silver,One Size,383,4.0,168,False,False,Standard
29,MEL9037D,Microscope,Melissa & Doug,Toys,Educational,32.66,The Microscope combines form and function for the perfect addition to your collection.,9.9,8x38x3 cm,Various,One Size,189,4.4,67,True,False,Heavy
30,GOO3474A,Samsung Galaxy S24 - Navy,Google,Electronics,Smartphones,367.14,The Samsung Galaxy S24 - Navy delivers exceptional performance with its powerful processor and stunning display. Perfect for work and play.,6.63,6x5x19 cm,Black,One Size,0,3.9,83,True,False,Heavy
