product_id,name,brand,category,subcategory,price,stock_quantity,rating,description
1,PlayStation 5,Sony,Electronics,Gaming,648.49,60,5.0,High-quality gaming from Sony. PlayStation 5 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
2,Apple Watch Band,Apple,Electronics,Accessories,341.0,37,3.4,High-quality accessories from Apple. Apple Watch Band features premium materials and cutting-edge technology. Perfect for both personal and professional use.
3,Better Sweater Jacket,Patagonia,Sports,Outdoor,339.0,11,5.0,High-performance outdoor from Patagonia. Better Sweater Jacket is designed for athletes and fitness enthusiasts. Durable construction and superior comfort.
4,Eyeshadow Primer Potion,Urban Decay,Beauty,Makeup,69.95,38,5.0,Professional-grade makeup from Urban Decay. Eyeshadow Primer Potion delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
5,iPhone 15,Apple,Electronics,Smartphones,819.99,85,4.1,High-quality smartphones from Apple. iPhone 15 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
6,AirPods Pro (2nd gen),Apple,Electronics,Headphones,184.99,28,4.8,High-quality headphones from Apple. AirPods Pro (2nd gen) features premium materials and cutting-edge technology. Perfect for both personal and professional use.
7,Pro Shorts,Nike,Clothing,Activewear,33.99,450,2.8,Stylish and comfortable activewear from Nike. Pro Shorts is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
8,ZV-1M2,Sony,Electronics,Cameras,2285.49,12,4.6,High-quality cameras from Sony. ZV-1M2 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
9,Galaxy S24+,Samsung,Electronics,Smartphones,1260.99,18,5.0,High-quality smartphones from Samsung. Galaxy S24+ features premium materials and cutting-edge technology. Perfect for both personal and professional use.
10,React Element 55,Nike,Clothing,Shoes,213.0,53,4.6,Stylish and comfortable shoes from Nike. React Element 55 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
11,Denali Fleece Jacket,North Face,Sports,Outdoor,34.49,169,5.0,High-performance outdoor from North Face. Denali Fleece Jacket is designed for athletes and fitness enthusiasts. Durable construction and superior comfort.
12,Galaxy Tab S9 Ultra,Samsung,Electronics,Tablets,1229.79,6,4.4,High-quality tablets from Samsung. Galaxy Tab S9 Ultra features premium materials and cutting-edge technology. Perfect for both personal and professional use.
13,iPhone 14 Pro,Apple,Electronics,Smartphones,2036.49,84,5.0,High-quality smartphones from Apple. iPhone 14 Pro features premium materials and cutting-edge technology. Perfect for both personal and professional use.
14,Galaxy Buds FE,Samsung,Electronics,Headphones,180.99,136,4.5,High-quality headphones from Samsung. Galaxy Buds FE features premium materials and cutting-edge technology. Perfect for both personal and professional use.
15,All Nighter Setting Spray,Urban Decay,Beauty,Makeup,25.99,102,1.6,Professional-grade makeup from Urban Decay. All Nighter Setting Spray delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
16,Alpha 7R V,Sony,Electronics,Cameras,687.79,29,5.0,High-quality cameras from Sony. Alpha 7R V features premium materials and cutting-edge technology. Perfect for both personal and professional use.
17,Great Lash Mascara,Maybelline,Beauty,Makeup,27.79,181,4.4,Professional-grade makeup from Maybelline. Great Lash Mascara delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
18,"iPad Pro 11""",Apple,Electronics,Tablets,1019.79,61,3.1,"High-quality tablets from Apple. iPad Pro 11"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
19,Trefoil Socks,Adidas,Clothing,Accessories,51.99,35,2.5,Stylish and comfortable accessories from Adidas. Trefoil Socks is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
20,Ruby Woo Lipstick,MAC,Beauty,Makeup,47.79,383,5.0,Professional-grade makeup from MAC. Ruby Woo Lipstick delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
21,Galaxy Book4 Pro,Samsung,Electronics,Accessories,175.79,57,2.3,High-quality accessories from Samsung. Galaxy Book4 Pro features premium materials and cutting-edge technology. Perfect for both personal and professional use.
22,Marble Table Lamp,West Elm,Home,Decor,61.0,94,4.0,Beautiful and functional decor from West Elm. Marble Table Lamp combines style and practicality to enhance your living space. Easy to assemble and maintain.
23,Galaxy Tab S9+,Samsung,Electronics,Tablets,564.79,89,5.0,High-quality tablets from Samsung. Galaxy Tab S9+ features premium materials and cutting-edge technology. Perfect for both personal and professional use.
24,Swoosh Cap,Nike,Clothing,Accessories,48.79,469,5.0,Stylish and comfortable accessories from Nike. Swoosh Cap is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
25,Alpha 6700,Sony,Electronics,Cameras,1325.49,49,3.2,High-quality cameras from Sony. Alpha 6700 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
26,iPhone 13,Apple,Electronics,Smartphones,1951.95,13,4.6,High-quality smartphones from Apple. iPhone 13 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
27,HEMNES Dresser,IKEA,Home,Furniture,174.49,173,5.0,Beautiful and functional furniture from IKEA. HEMNES Dresser combines style and practicality to enhance your living space. Easy to assemble and maintain.
28,Studio Moisture Cream,MAC,Beauty,Skincare,89.79,105,5.0,Professional-grade skincare from MAC. Studio Moisture Cream delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
29,Galaxy A54,Samsung,Electronics,Smartphones,1247.95,18,4.7,High-quality smartphones from Samsung. Galaxy A54 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
30,iPhone 15 Pro,Apple,Electronics,Smartphones,621.99,68,3.0,High-quality smartphones from Apple. iPhone 15 Pro features premium materials and cutting-edge technology. Perfect for both personal and professional use.
31,Galaxy S24,Samsung,Electronics,Smartphones,1269.95,93,3.6,High-quality smartphones from Samsung. Galaxy S24 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
32,PlayStation 5 Digital,Sony,Electronics,Gaming,436.95,66,5.0,High-quality gaming from Sony. PlayStation 5 Digital features premium materials and cutting-edge technology. Perfect for both personal and professional use.
33,iPad,Apple,Electronics,Tablets,440.0,99,4.4,High-quality tablets from Apple. iPad features premium materials and cutting-edge technology. Perfect for both personal and professional use.
