product_id,name,brand,category,subcategory,price,stock_quantity,rating,description
1,Leggings,Nike,Clothing,Activewear,68.99,77,5.0,Stylish and comfortable activewear from Nike. Leggings is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
2,Water Bottle,Nike,Clothing,Accessories,105.49,50,5.0,Stylish and comfortable accessories from Nike. Water Bottle is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
3,Prep + Prime Skin,MAC,Beauty,Skincare,121.0,150,5.0,Professional-grade skincare from MAC. Prep + Prime Skin delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
4,React Element 55,Nike,Clothing,Shoes,188.49,140,3.5,Stylish and comfortable shoes from Nike. React Element 55 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
5,Galaxy Buds FE,Samsung,Electronics,Headphones,143.49,68,5.0,High-quality headphones from Samsung. Galaxy Buds FE features premium materials and cutting-edge technology. Perfect for both personal and professional use.
6,Galaxy S24 Ultra,Samsung,Electronics,Smartphones,636.95,13,3.7,High-quality smartphones from Samsung. Galaxy S24 Ultra features premium materials and cutting-edge technology. Perfect for both personal and professional use.
7,Tiro Pants,Adidas,Clothing,Activewear,30.49,224,5.0,Stylish and comfortable activewear from Adidas. Tiro Pants is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
8,Air Jordan 1,Nike,Clothing,Shoes,248.99,41,5.0,Stylish and comfortable shoes from Nike. Air Jordan 1 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
9,Prep + Prime Fix+,MAC,Beauty,Makeup,89.79,188,4.1,Professional-grade makeup from MAC. Prep + Prime Fix+ delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
10,Windbreaker,Nike,Clothing,Activewear,105.79,143,4.5,Stylish and comfortable activewear from Nike. Windbreaker is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
11,"iPad Pro 11""",Apple,Electronics,Tablets,384.79,53,4.3,"High-quality tablets from Apple. iPad Pro 11"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
12,Monopoly Classic,Hasbro,Toys,Board Games,174.95,198,3.3,Fun and educational board games from Hasbro. Monopoly Classic encourages creativity and learning through play. Safe for children and built to last.
13,Alpha 7 IV,Sony,Electronics,Cameras,2206.49,10,4.4,High-quality cameras from Sony. Alpha 7 IV features premium materials and cutting-edge technology. Perfect for both personal and professional use.
14,Pulse 3D Headset,Sony,Electronics,Gaming,479.49,54,5.0,High-quality gaming from Sony. Pulse 3D Headset features premium materials and cutting-edge technology. Perfect for both personal and professional use.
15,WF-1000XM4,Sony,Electronics,Headphones,148.95,146,5.0,High-quality headphones from Sony. WF-1000XM4 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
16,WF-1000XM5,Sony,Electronics,Headphones,149.79,104,5.0,High-quality headphones from Sony. WF-1000XM5 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
17,Lightful C Marine-Bright,MAC,Beauty,Skincare,58.49,45,4.4,Professional-grade skincare from MAC. Lightful C Marine-Bright delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
18,iPad mini,Apple,Electronics,Tablets,1019.95,57,5.0,High-quality tablets from Apple. iPad mini features premium materials and cutting-edge technology. Perfect for both personal and professional use.
19,MagSafe Charger,Apple,Electronics,Accessories,163.99,140,5.0,High-quality accessories from Apple. MagSafe Charger features premium materials and cutting-edge technology. Perfect for both personal and professional use.
20,Eyeshadow Primer Potion,Urban Decay,Beauty,Makeup,37.79,404,4.1,Professional-grade makeup from Urban Decay. Eyeshadow Primer Potion delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
21,HEMNES Dresser,IKEA,Home,Furniture,455.0,91,5.0,Beautiful and functional furniture from IKEA. HEMNES Dresser combines style and practicality to enhance your living space. Easy to assemble and maintain.
22,Swoosh Cap,Nike,Clothing,Accessories,26.0,370,5.0,Stylish and comfortable accessories from Nike. Swoosh Cap is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
23,45W Super Fast Charger,Samsung,Electronics,Accessories,90.79,29,5.0,High-quality accessories from Samsung. 45W Super Fast Charger features premium materials and cutting-edge technology. Perfect for both personal and professional use.
